Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Baden-Wurttemberg,1745 (443 -- 5962),Likely decreasing,0.93 (0.71 -- 1.2),-0.018 (-0.082 -- 0.053),-38 (13 -- -8.4)
Bavaria,1428 (304 -- 4703),Likely decreasing,0.85 (0.55 -- 1.1),-0.042 (-0.13 -- 0.016),-17 (42 -- -5.2)
Berlin,597 (172 -- 2437),Stable,0.99 (0.75 -- 1.3),-0.0018 (-0.071 -- 0.077),-380 (9 -- -9.8)
Brandenburg,815 (261 -- 4009),Stable,0.98 (0.8 -- 1.4),-0.0057 (-0.057 -- 0.11),-120 (6.2 -- -12)
Bremen,296 (58 -- 1539),Likely increasing,1 (0.73 -- 1.4),0.0077 (-0.077 -- 0.099),89 (7 -- -8.9)
Dolnośląskie,70 (17 -- 345),Likely decreasing,0.88 (0.64 -- 1.2),-0.035 (-0.11 -- 0.051),-20 (14 -- -6.6)
Germany,13534 (4896 -- 31256),Likely decreasing,0.94 (0.74 -- 1.1),-0.016 (-0.073 -- 0.029),-43 (24 -- -9.5)
Hamburg,1075 (279 -- 9172),Likely increasing,1.1 (0.79 -- 1.8),0.017 (-0.061 -- 0.21),40 (3.3 -- -11)
Hesse,1097 (349 -- 3027),Likely decreasing,0.96 (0.75 -- 1.1),-0.011 (-0.07 -- 0.04),-66 (17 -- -9.9)
Kujawsko-Pomorskie,0 (0 -- 77),Likely decreasing,0.56 (0.13 -- 1.6),-0.13 (-0.3 -- 0.16),-5.2 (4.4 -- -2.3)
Lower Saxony,2466 (797 -- 7775),Stable,1 (0.79 -- 1.3),-0.00014 (-0.06 -- 0.071),-5100 (9.8 -- -12)
Lubelskie,63 (15 -- 1273),Likely decreasing,0.87 (0.68 -- 1.7),-0.036 (-0.093 -- 0.18),-19 (3.9 -- -7.4)
Lubuskie,5 (0 -- 220),Likely decreasing,0.71 (0.26 -- 1.5),-0.083 (-0.24 -- 0.14),-8.4 (5 -- -2.9)
Mazowieckie,81 (16 -- 358),Likely decreasing,0.84 (0.58 -- 1.2),-0.046 (-0.12 -- 0.044),-15 (16 -- -5.7)
Małopolskie,38 (3 -- 366),Likely decreasing,0.82 (0.49 -- 1.3),-0.05 (-0.15 -- 0.078),-14 (8.9 -- -4.5)
Mecklenburg-Vorpommern,158 (17 -- 989),Likely decreasing,0.83 (0.5 -- 1.3),-0.048 (-0.15 -- 0.077),-15 (9.1 -- -4.6)
North Rhine-Westphalia,2546 (696 -- 5909),Likely decreasing,0.93 (0.68 -- 1.1),-0.02 (-0.091 -- 0.017),-34 (42 -- -7.6)
Opolskie,17 (1 -- 881),Likely decreasing,0.86 (0.52 -- 2),-0.04 (-0.14 -- 0.24),-17 (2.8 -- -4.8)
Podkarpackie,8 (0 -- 97),Likely decreasing,0.76 (0.35 -- 1.3),-0.068 (-0.2 -- 0.07),-10 (10 -- -3.4)
Podlaskie,17 (1 -- 212),Likely decreasing,0.84 (0.53 -- 1.4),-0.044 (-0.14 -- 0.11),-16 (6.4 -- -4.9)
Poland,667 (251 -- 3649),Likely decreasing,0.85 (0.69 -- 1.3),-0.041 (-0.091 -- 0.086),-17 (8 -- -7.6)
Pomorskie,70 (2 -- 833),Likely decreasing,0.85 (0.4 -- 1.5),-0.042 (-0.19 -- 0.13),-17 (5.3 -- -3.7)
Rhineland-Palatinate,1016 (360 -- 3549),Likely decreasing,0.98 (0.78 -- 1.3),-0.005 (-0.064 -- 0.068),-140 (10 -- -11)
Saarland,211 (20 -- 1093),Likely decreasing,0.89 (0.5 -- 1.2),-0.031 (-0.15 -- 0.058),-23 (12 -- -4.7)
Saxony,1803 (367 -- 7472),Likely decreasing,0.96 (0.66 -- 1.3),-0.012 (-0.099 -- 0.079),-56 (8.7 -- -7)
Saxony-Anhalt,371 (50 -- 1570),Likely decreasing,0.85 (0.51 -- 1.1),-0.042 (-0.15 -- 0.034),-17 (21 -- -4.8)
Schleswig-Holstein,491 (84 -- 1629),Likely decreasing,0.95 (0.64 -- 1.2),-0.014 (-0.1 -- 0.046),-48 (15 -- -6.7)
Thuringia,1384 (386 -- 6076),Stable,1 (0.78 -- 1.3),2e-04 (-0.063 -- 0.086),3500 (8.1 -- -11)
Warmińsko-Mazurskie,0 (0 -- 22),Likely decreasing,0.56 (0.13 -- 1.1),-0.13 (-0.29 -- 0.039),-5.3 (18 -- -2.4)
Wielkopolskie,171 (22 -- 2977),Stable,0.97 (0.53 -- 1.9),-0.0091 (-0.14 -- 0.23),-76 (3 -- -5)
Zachodniopomorskie,4 (0 -- 67),Likely decreasing,0.6 (0.18 -- 1),-0.12 (-0.27 -- 0.0093),-6 (74 -- -2.5)
Łódzkie,34 (4 -- 222),Likely decreasing,0.81 (0.54 -- 1.2),-0.054 (-0.14 -- 0.052),-13 (13 -- -5.1)
Śląskie,91 (23 -- 1379),Likely decreasing,0.86 (0.64 -- 1.5),-0.039 (-0.11 -- 0.14),-18 (5 -- -6.6)
Świętokrzyskie,45 (3 -- 603),Likely decreasing,0.84 (0.38 -- 1.5),-0.044 (-0.19 -- 0.12),-16 (5.7 -- -3.6)
