Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Baden-Wurttemberg,36344 (15012 -- 76491),Stable,1 (0.76 -- 1.2),0.00031 (-0.07 -- 0.062),2300 (11 -- -9.9)
Bavaria,31408 (12991 -- 70114),Likely decreasing,0.86 (0.61 -- 1.1),-0.039 (-0.11 -- 0.028),-18 (25 -- -6)
Berlin,11327 (4679 -- 23374),Likely increasing,1.1 (0.82 -- 1.2),0.02 (-0.051 -- 0.059),35 (12 -- -14)
Brandenburg,9777 (3989 -- 20846),Likely decreasing,0.93 (0.66 -- 1.2),-0.019 (-0.097 -- 0.047),-36 (15 -- -7.1)
Bremen,444 (112 -- 1276),Likely decreasing,0.78 (0.42 -- 1.1),-0.063 (-0.18 -- 0.028),-11 (25 -- -3.9)
Dolnośląskie,9855 (5848 -- 17001),Likely increasing,1.1 (0.88 -- 1.2),0.014 (-0.033 -- 0.06),51 (12 -- -21)
Germany,247574 (98013 -- 556211),Stable,1 (0.75 -- 1.2),-0.00047 (-0.072 -- 0.062),-1500 (11 -- -9.6)
Hamburg,3172 (1645 -- 5635),Likely increasing,1.1 (0.86 -- 1.2),0.015 (-0.038 -- 0.051),48 (14 -- -18)
Hesse,10887 (5353 -- 21281),Stable,0.99 (0.76 -- 1.2),-0.0039 (-0.067 -- 0.06),-180 (12 -- -10)
Kujawsko-Pomorskie,5200 (3204 -- 8751),Stable,1 (0.85 -- 1.2),0.0011 (-0.041 -- 0.041),630 (17 -- -17)
Lower Saxony,12412 (5688 -- 24246),Stable,1 (0.79 -- 1.2),0.005 (-0.059 -- 0.056),140 (12 -- -12)
Lubelskie,2198 (1288 -- 4003),Decreasing,0.81 (0.66 -- 0.97),-0.053 (-0.1 -- -0.0096),-13 (-72 -- -7)
Lubuskie,3037 (1692 -- 5365),Likely increasing,1 (0.84 -- 1.2),0.011 (-0.046 -- 0.052),62 (13 -- -15)
Mazowieckie,12582 (8172 -- 19564),Likely decreasing,0.9 (0.79 -- 1),-0.027 (-0.061 -- 0.011),-26 (63 -- -11)
Małopolskie,8316 (5305 -- 13271),Stable,1 (0.86 -- 1.2),0.002 (-0.039 -- 0.044),350 (16 -- -18)
Mecklenburg-Vorpommern,6506 (3345 -- 11493),Likely increasing,1.1 (0.89 -- 1.3),0.031 (-0.031 -- 0.074),22 (9.3 -- -22)
North Rhine-Westphalia,37336 (16808 -- 78305),Stable,1 (0.78 -- 1.3),0.0087 (-0.061 -- 0.073),79 (9.5 -- -11)
Opolskie,3162 (1666 -- 5800),Stable,0.99 (0.75 -- 1.2),-0.0038 (-0.07 -- 0.053),-180 (13 -- -9.9)
Podkarpackie,2865 (1542 -- 5079),Likely decreasing,0.9 (0.68 -- 1.1),-0.029 (-0.093 -- 0.024),-24 (28 -- -7.4)
Podlaskie,1205 (690 -- 2114),Decreasing,0.83 (0.69 -- 0.99),-0.047 (-0.09 -- -0.0021),-15 (-330 -- -7.7)
Poland,92646 (62543 -- 140740),Stable,0.99 (0.87 -- 1.1),-0.0031 (-0.038 -- 0.027),-220 (26 -- -18)
Pomorskie,6839 (4319 -- 11700),Likely increasing,1 (0.9 -- 1.2),0.012 (-0.027 -- 0.054),58 (13 -- -26)
Rhineland-Palatinate,10852 (5679 -- 20454),Likely increasing,1.1 (0.88 -- 1.3),0.025 (-0.032 -- 0.081),28 (8.6 -- -21)
Saarland,1644 (677 -- 3733),Likely decreasing,0.82 (0.54 -- 1.1),-0.051 (-0.14 -- 0.039),-13 (18 -- -5)
Saxony,71106 (26519 -- 144466),Likely increasing,1.2 (0.86 -- 1.3),0.046 (-0.04 -- 0.082),15 (8.5 -- -17)
Saxony-Anhalt,20214 (9845 -- 39722),Likely increasing,1.1 (0.91 -- 1.3),0.038 (-0.026 -- 0.089),18 (7.8 -- -27)
Schleswig-Holstein,2303 (1063 -- 4409),Likely decreasing,0.97 (0.72 -- 1.2),-0.0094 (-0.08 -- 0.045),-74 (15 -- -8.7)
Thuringia,20632 (11010 -- 35296),Likely increasing,1.1 (0.95 -- 1.2),0.037 (-0.014 -- 0.067),18 (10 -- -48)
Warmińsko-Mazurskie,4146 (2433 -- 7732),Likely increasing,1 (0.87 -- 1.2),0.0079 (-0.037 -- 0.063),88 (11 -- -19)
Wielkopolskie,8965 (5693 -- 14812),Stable,1 (0.87 -- 1.2),0.0012 (-0.037 -- 0.046),590 (15 -- -19)
Zachodniopomorskie,4696 (2925 -- 7551),Likely decreasing,0.96 (0.82 -- 1.1),-0.011 (-0.051 -- 0.023),-64 (30 -- -14)
Łódzkie,5329 (3118 -- 9419),Stable,1 (0.83 -- 1.2),0.00065 (-0.048 -- 0.057),1100 (12 -- -15)
Śląskie,15585 (9418 -- 25885),Likely increasing,1 (0.88 -- 1.2),0.013 (-0.032 -- 0.056),55 (12 -- -21)
Świętokrzyskie,2207 (1302 -- 3847),Stable,1 (0.83 -- 1.2),0.0024 (-0.048 -- 0.045),290 (15 -- -15)
