Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Baden-Wurttemberg,3808 (1227 -- 19990),Likely decreasing,0.96 (0.82 -- 1.5),-0.011 (-0.053 -- 0.12),-66 (5.6 -- -13)
Bavaria,12213 (3094 -- 81842),Likely increasing,1.2 (0.86 -- 1.9),0.046 (-0.039 -- 0.23),15 (3 -- -18)
Berlin,580 (113 -- 3597),Likely decreasing,0.96 (0.64 -- 1.4),-0.011 (-0.1 -- 0.094),-61 (7.4 -- -6.6)
Brandenburg,488 (55 -- 3970),Likely decreasing,0.81 (0.5 -- 1.3),-0.053 (-0.15 -- 0.087),-13 (7.9 -- -4.6)
Bremen,185 (11 -- 1028),Likely decreasing,0.94 (0.49 -- 1.2),-0.017 (-0.15 -- 0.054),-41 (13 -- -4.5)
Dolnośląskie,1507 (301 -- 9019),Likely decreasing,0.89 (0.61 -- 1.3),-0.032 (-0.11 -- 0.084),-22 (8.2 -- -6.2)
Germany,27233 (9692 -- 97384),Stable,0.97 (0.76 -- 1.3),-0.007 (-0.068 -- 0.081),-99 (8.6 -- -10)
Hamburg,1846 (535 -- 8030),Likely increasing,1.1 (0.82 -- 1.4),0.021 (-0.049 -- 0.1),33 (7 -- -14)
Hesse,5556 (933 -- 48001),Likely increasing,1.1 (0.67 -- 1.6),0.018 (-0.095 -- 0.14),38 (4.9 -- -7.3)
Kujawsko-Pomorskie,1180 (327 -- 6156),Likely decreasing,0.95 (0.7 -- 1.5),-0.013 (-0.088 -- 0.13),-53 (5.5 -- -7.9)
Lower Saxony,1061 (322 -- 5576),Likely decreasing,0.95 (0.76 -- 1.4),-0.013 (-0.069 -- 0.11),-53 (6.5 -- -10)
Lubelskie,1278 (570 -- 9929),Stable,1 (0.87 -- 1.7),-0.0011 (-0.035 -- 0.18),-610 (3.8 -- -20)
Lubuskie,74 (3 -- 915),Likely decreasing,0.68 (0.29 -- 1.3),-0.094 (-0.23 -- 0.077),-7.4 (9 -- -3.1)
Mazowieckie,1531 (523 -- 4528),Likely decreasing,0.87 (0.69 -- 1.1),-0.037 (-0.091 -- 0.038),-19 (18 -- -7.6)
Małopolskie,6197 (1392 -- 53635),Likely increasing,1.1 (0.78 -- 1.9),0.023 (-0.062 -- 0.22),30 (3.1 -- -11)
Mecklenburg-Vorpommern,367 (29 -- 1742),Likely decreasing,0.88 (0.47 -- 1.2),-0.033 (-0.16 -- 0.054),-21 (13 -- -4.4)
North Rhine-Westphalia,8579 (2185 -- 35190),Likely increasing,1.1 (0.74 -- 1.5),0.017 (-0.075 -- 0.13),41 (5.4 -- -9.2)
Opolskie,618 (113 -- 3571),Likely decreasing,0.85 (0.6 -- 1.2),-0.041 (-0.12 -- 0.055),-17 (13 -- -5.9)
Podkarpackie,2626 (905 -- 9535),Likely decreasing,0.96 (0.8 -- 1.3),-0.011 (-0.056 -- 0.078),-66 (8.9 -- -12)
Podlaskie,607 (260 -- 2184),Likely decreasing,0.93 (0.8 -- 1.2),-0.02 (-0.058 -- 0.054),-35 (13 -- -12)
Poland,38786 (15032 -- 136041),Stable,1 (0.83 -- 1.5),0.0078 (-0.047 -- 0.12),88 (5.9 -- -15)
Pomorskie,2105 (634 -- 16640),Stable,0.98 (0.76 -- 1.7),-0.0059 (-0.069 -- 0.18),-120 (3.9 -- -10)
Rhineland-Palatinate,565 (90 -- 3786),Stable,0.96 (0.61 -- 1.6),-0.01 (-0.12 -- 0.15),-66 (4.7 -- -5.9)
Saarland,158 (11 -- 1327),Likely decreasing,0.88 (0.46 -- 1.4),-0.035 (-0.16 -- 0.1),-20 (6.9 -- -4.3)
Saxony,305 (26 -- 2554),Likely decreasing,0.69 (0.34 -- 1.2),-0.09 (-0.21 -- 0.045),-7.7 (15 -- -3.4)
Saxony-Anhalt,672 (127 -- 2626),Likely decreasing,0.87 (0.59 -- 1.1),-0.035 (-0.12 -- 0.03),-20 (23 -- -5.8)
Schleswig-Holstein,959 (169 -- 4593),Likely increasing,1.1 (0.67 -- 1.5),0.015 (-0.098 -- 0.13),46 (5.5 -- -7.1)
Thuringia,592 (72 -- 4660),Likely decreasing,0.83 (0.52 -- 1.5),-0.047 (-0.14 -- 0.13),-15 (5.3 -- -4.8)
Warmińsko-Mazurskie,643 (145 -- 2807),Likely decreasing,0.89 (0.63 -- 1.3),-0.031 (-0.11 -- 0.074),-22 (9.4 -- -6.5)
Wielkopolskie,5717 (1374 -- 37874),Likely increasing,1.1 (0.76 -- 1.7),0.018 (-0.068 -- 0.18),39 (3.8 -- -10)
Zachodniopomorskie,3392 (692 -- 32783),Likely decreasing,0.92 (0.72 -- 1.2),-0.022 (-0.081 -- 0.049),-32 (14 -- -8.5)
Łódzkie,4397 (1314 -- 16753),Stable,1 (0.81 -- 1.3),-0.00053 (-0.054 -- 0.084),-1300 (8.2 -- -13)
Śląskie,5624 (1397 -- 29010),Stable,1 (0.71 -- 1.6),0.013 (-0.083 -- 0.15),54 (4.6 -- -8.3)
Świętokrzyskie,690 (70 -- 2728),Likely decreasing,0.85 (0.5 -- 1.1),-0.043 (-0.15 -- 0.028),-16 (25 -- -4.6)
