Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Baden-Wurttemberg,1405 (459 -- 6373),Likely decreasing,0.97 (0.76 -- 1.4),-0.0096 (-0.07 -- 0.11),-73 (6.3 -- -9.9)
Bavaria,996 (311 -- 3455),Likely decreasing,0.91 (0.71 -- 1.2),-0.026 (-0.083 -- 0.048),-26 (14 -- -8.4)
Berlin,108 (6 -- 1755),Likely decreasing,0.82 (0.37 -- 1.6),-0.052 (-0.2 -- 0.15),-13 (4.5 -- -3.5)
Brandenburg,171 (25 -- 1014),Likely decreasing,0.88 (0.52 -- 1.2),-0.032 (-0.14 -- 0.066),-21 (11 -- -4.9)
Bremen,18 (0 -- 191),Likely decreasing,0.87 (0.32 -- 1.3),-0.037 (-0.21 -- 0.074),-19 (9.4 -- -3.3)
Dolnośląskie,40 (1 -- 326),Likely decreasing,0.69 (0.29 -- 1.1),-0.09 (-0.23 -- 0.025),-7.7 (28 -- -3.1)
Germany,4217 (1469 -- 11211),Likely decreasing,0.84 (0.66 -- 1),-0.045 (-0.099 -- 0.005),-15 (140 -- -7)
Hamburg,45 (0 -- 330),Likely decreasing,0.81 (0.048 -- 1.2),-0.054 (-0.33 -- 0.054),-13 (13 -- -2.1)
Hesse,425 (60 -- 1797),Likely decreasing,0.86 (0.57 -- 1.1),-0.038 (-0.13 -- 0.032),-18 (22 -- -5.4)
Kujawsko-Pomorskie,89 (7 -- 1187),Likely decreasing,0.83 (0.45 -- 1.5),-0.048 (-0.17 -- 0.13),-15 (5.2 -- -4.2)
Lower Saxony,398 (99 -- 1461),Likely decreasing,0.9 (0.68 -- 1.2),-0.029 (-0.092 -- 0.042),-24 (17 -- -7.6)
Lubelskie,183 (50 -- 1030),Likely decreasing,0.87 (0.68 -- 1.2),-0.036 (-0.094 -- 0.059),-19 (12 -- -7.4)
Lubuskie,10 (0 -- 210),Likely decreasing,0.7 (0.19 -- 1.2),-0.086 (-0.27 -- 0.041),-8.1 (17 -- -2.6)
Mazowieckie,165 (41 -- 518),Decreasing,0.81 (0.48 -- 1),-0.054 (-0.16 -- 0.00094),-13 (730 -- -4.4)
Małopolskie,118 (17 -- 500),Likely decreasing,0.81 (0.52 -- 1.1),-0.054 (-0.14 -- 0.035),-13 (20 -- -4.9)
Mecklenburg-Vorpommern,27 (0 -- 289),Likely decreasing,0.75 (0.29 -- 1.3),-0.071 (-0.23 -- 0.069),-9.7 (10 -- -3)
North Rhine-Westphalia,708 (174 -- 2567),Likely decreasing,0.83 (0.6 -- 1.1),-0.048 (-0.12 -- 0.03),-15 (23 -- -5.9)
Opolskie,44 (6 -- 326),Likely decreasing,0.83 (0.58 -- 1.3),-0.048 (-0.13 -- 0.083),-14 (8.3 -- -5.5)
Podkarpackie,43 (2 -- 230),Likely decreasing,0.77 (0.39 -- 1.1),-0.065 (-0.19 -- 0.015),-11 (46 -- -3.7)
Podlaskie,8 (0 -- 113),Likely decreasing,0.65 (0.096 -- 1.1),-0.1 (-0.31 -- 0.03),-6.9 (23 -- -2.2)
Poland,1257 (327 -- 3801),Decreasing,0.79 (0.58 -- 0.99),-0.059 (-0.12 -- -0.0023),-12 (-300 -- -5.6)
Pomorskie,99 (2 -- 967),Likely decreasing,0.81 (0.18 -- 1.3),-0.054 (-0.28 -- 0.089),-13 (7.8 -- -2.5)
Rhineland-Palatinate,600 (66 -- 2684),Likely decreasing,0.94 (0.51 -- 1.2),-0.017 (-0.14 -- 0.054),-41 (13 -- -4.8)
Saarland,0 (0 -- 43),Likely decreasing,0.43 (0.027 -- 1.3),-0.18 (-0.35 -- 0.092),-3.9 (7.6 -- -2)
Saxony,142 (0 -- 4139),Likely decreasing,0.56 (0.091 -- 1.4),-0.13 (-0.31 -- 0.11),-5.3 (6.5 -- -2.2)
Saxony-Anhalt,127 (3 -- 4535),Likely decreasing,0.8 (0.31 -- 1.9),-0.056 (-0.22 -- 0.24),-12 (2.9 -- -3.2)
Schleswig-Holstein,3 (0 -- 79),Likely decreasing,0.58 (0.15 -- 1.2),-0.12 (-0.29 -- 0.05),-5.6 (14 -- -2.4)
Thuringia,154 (19 -- 961),Likely decreasing,0.79 (0.47 -- 1.1),-0.059 (-0.16 -- 0.034),-12 (21 -- -4.4)
Warmińsko-Mazurskie,11 (0 -- 206),Likely decreasing,0.65 (0.14 -- 1.2),-0.1 (-0.29 -- 0.057),-6.7 (12 -- -2.4)
Wielkopolskie,85 (5 -- 301),Decreasing,0.76 (0.35 -- 0.94),-0.069 (-0.2 -- -0.018),-10 (-38 -- -3.5)
Zachodniopomorskie,96 (10 -- 640),Likely decreasing,0.81 (0.5 -- 1.2),-0.053 (-0.15 -- 0.058),-13 (12 -- -4.7)
Łódzkie,73 (3 -- 542),Likely decreasing,0.75 (0.39 -- 1),-0.072 (-0.19 -- 0.011),-9.6 (62 -- -3.7)
Śląskie,324 (46 -- 3548),Likely decreasing,0.8 (0.52 -- 1.3),-0.058 (-0.14 -- 0.091),-12 (7.6 -- -4.8)
Świętokrzyskie,49 (1 -- 398),Likely decreasing,0.72 (0.27 -- 1.1),-0.079 (-0.23 -- 0.018),-8.7 (38 -- -3)
