Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Baden-Wurttemberg,2442 (1438 -- 5090),Likely decreasing,0.93 (0.82 -- 1.2),-0.02 (-0.051 -- 0.046),-34 (15 -- -14)
Bavaria,3603 (2247 -- 6884),Likely decreasing,0.93 (0.84 -- 1.2),-0.021 (-0.044 -- 0.042),-33 (17 -- -16)
Berlin,938 (538 -- 2034),Likely decreasing,0.95 (0.83 -- 1.3),-0.013 (-0.048 -- 0.067),-55 (10 -- -15)
Brandenburg,816 (368 -- 2451),Likely decreasing,0.92 (0.7 -- 1.4),-0.023 (-0.087 -- 0.099),-30 (7 -- -8)
Bremen,318 (185 -- 632),Likely increasing,1 (0.92 -- 1.3),0.0052 (-0.023 -- 0.068),130 (10 -- -30)
Dolnośląskie,2555 (1429 -- 5397),Increasing,1.3 (1 -- 1.7),0.067 (0.011 -- 0.17),10 (4 -- 62)
Germany,34334 (19347 -- 72817),Likely increasing,1.1 (0.9 -- 1.6),0.026 (-0.028 -- 0.14),27 (4.9 -- -25)
Hamburg,776 (448 -- 1478),Likely decreasing,0.97 (0.86 -- 1.2),-0.0078 (-0.04 -- 0.045),-89 (15 -- -17)
Hesse,1739 (1091 -- 3057),Likely decreasing,0.93 (0.85 -- 1.1),-0.02 (-0.042 -- 0.025),-35 (28 -- -16)
Kujawsko-Pomorskie,2424 (1435 -- 4648),Likely increasing,1.1 (0.92 -- 1.3),0.018 (-0.022 -- 0.079),39 (8.8 -- -31)
Lower Saxony,3199 (1941 -- 6309),Likely decreasing,0.98 (0.88 -- 1.2),-0.0054 (-0.033 -- 0.054),-130 (13 -- -21)
Lubelskie,1035 (688 -- 1751),Likely increasing,1 (0.95 -- 1.2),0.0071 (-0.013 -- 0.052),98 (13 -- -52)
Lubuskie,1302 (768 -- 2449),Likely increasing,1.1 (1 -- 1.4),0.038 (0.00028 -- 0.1),18 (6.7 -- 2500)
Mazowieckie,7272 (4563 -- 12428),Increasing,1.2 (1 -- 1.5),0.053 (0.0038 -- 0.12),13 (5.7 -- 180)
Małopolskie,3194 (1562 -- 7894),Increasing,1.3 (1.1 -- 1.9),0.09 (0.016 -- 0.23),7.7 (3 -- 45)
Mecklenburg-Vorpommern,746 (389 -- 1715),Stable,1 (0.84 -- 1.5),0.0068 (-0.047 -- 0.12),100 (5.9 -- -15)
North Rhine-Westphalia,5722 (3580 -- 12049),Likely decreasing,0.97 (0.88 -- 1.3),-0.0096 (-0.034 -- 0.076),-73 (9.1 -- -20)
Opolskie,590 (308 -- 1226),Likely increasing,1.2 (0.96 -- 1.5),0.051 (-0.01 -- 0.14),14 (4.9 -- -67)
Podkarpackie,2072 (698 -- 5638),Likely increasing,1.2 (0.68 -- 1.8),0.046 (-0.093 -- 0.2),15 (3.4 -- -7.4)
Podlaskie,969 (657 -- 1559),Likely increasing,1.1 (0.97 -- 1.2),0.014 (-0.0097 -- 0.055),50 (13 -- -72)
Poland,40290 (26407 -- 67993),Increasing,1.2 (1 -- 1.5),0.054 (0.0036 -- 0.12),13 (5.6 -- 190)
Pomorskie,3360 (2076 -- 5794),Likely increasing,1.1 (0.96 -- 1.4),0.036 (-0.012 -- 0.093),19 (7.4 -- -59)
Rhineland-Palatinate,927 (526 -- 1674),Likely decreasing,0.91 (0.79 -- 1.1),-0.026 (-0.062 -- 0.015),-26 (46 -- -11)
Saarland,278 (107 -- 572),Likely decreasing,0.9 (0.67 -- 1),-0.028 (-0.096 -- 0.011),-24 (63 -- -7.2)
Saxony,1739 (892 -- 3745),Stable,1 (0.83 -- 1.4),0.004 (-0.048 -- 0.098),170 (7.1 -- -15)
Saxony-Anhalt,1120 (532 -- 3175),Stable,1 (0.79 -- 1.5),0.0016 (-0.059 -- 0.13),440 (5.3 -- -12)
Schleswig-Holstein,837 (472 -- 1733),Likely decreasing,0.94 (0.8 -- 1.2),-0.015 (-0.058 -- 0.046),-45 (15 -- -12)
Thuringia,1872 (1020 -- 3881),Likely increasing,1.1 (0.89 -- 1.5),0.031 (-0.03 -- 0.13),22 (5.3 -- -23)
Warmińsko-Mazurskie,3434 (1835 -- 6597),Likely increasing,1.2 (0.93 -- 1.5),0.051 (-0.018 -- 0.13),13 (5.5 -- -38)
Wielkopolskie,2885 (1696 -- 5351),Likely increasing,1.2 (0.98 -- 1.5),0.044 (-0.0067 -- 0.12),16 (5.9 -- -100)
Zachodniopomorskie,1381 (787 -- 2751),Likely increasing,1.1 (0.9 -- 1.4),0.026 (-0.028 -- 0.11),27 (6.6 -- -25)
Łódzkie,1713 (1024 -- 3217),Likely increasing,1.2 (0.97 -- 1.4),0.044 (-0.007 -- 0.11),16 (6.1 -- -98)
Śląskie,4150 (2402 -- 7826),Increasing,1.2 (1 -- 1.6),0.062 (0.008 -- 0.14),11 (4.9 -- 87)
Świętokrzyskie,587 (348 -- 1110),Likely increasing,1.1 (0.9 -- 1.3),0.025 (-0.027 -- 0.092),28 (7.6 -- -26)
