Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Baden-Wurttemberg,5276 (1259 -- 54909),Likely increasing,1.1 (0.78 -- 2.1),0.025 (-0.063 -- 0.26),27 (2.7 -- -11)
Bavaria,2351 (633 -- 7666),Likely decreasing,0.85 (0.61 -- 1.1),-0.043 (-0.12 -- 0.034),-16 (20 -- -6)
Berlin,651 (168 -- 2783),Likely decreasing,0.86 (0.59 -- 1.3),-0.04 (-0.12 -- 0.067),-17 (10 -- -5.7)
Brandenburg,2298 (283 -- 41460),Stable,0.99 (0.55 -- 2.2),-0.0038 (-0.13 -- 0.28),-180 (2.4 -- -5.2)
Bremen,646 (245 -- 5048),Likely increasing,1 (0.88 -- 1.7),0.013 (-0.034 -- 0.17),54 (4 -- -20)
Dolnośląskie,1802 (722 -- 6412),Stable,1 (0.82 -- 1.3),-0.00023 (-0.052 -- 0.071),-3100 (9.8 -- -13)
Germany,20529 (8037 -- 55587),Likely decreasing,0.89 (0.69 -- 1.1),-0.03 (-0.089 -- 0.04),-23 (17 -- -7.8)
Hamburg,964 (191 -- 5374),Stable,0.96 (0.66 -- 1.5),-0.0099 (-0.1 -- 0.13),-70 (5.5 -- -6.9)
Hesse,1115 (293 -- 3695),Likely decreasing,0.82 (0.6 -- 1.1),-0.052 (-0.12 -- 0.022),-13 (32 -- -5.9)
Kujawsko-Pomorskie,1559 (564 -- 6030),Likely decreasing,0.96 (0.76 -- 1.4),-0.011 (-0.068 -- 0.1),-61 (6.6 -- -10)
Lower Saxony,1496 (368 -- 5146),Likely decreasing,0.84 (0.58 -- 1.1),-0.045 (-0.12 -- 0.02),-15 (35 -- -5.6)
Lubelskie,1637 (473 -- 3802),Likely decreasing,0.96 (0.72 -- 1.1),-0.012 (-0.081 -- 0.034),-57 (20 -- -8.5)
Lubuskie,832 (147 -- 5185),Likely decreasing,0.97 (0.6 -- 1.5),-0.0082 (-0.12 -- 0.12),-84 (5.6 -- -5.9)
Mazowieckie,3413 (1080 -- 13254),Likely decreasing,0.97 (0.71 -- 1.4),-0.0082 (-0.083 -- 0.11),-85 (6.4 -- -8.4)
Małopolskie,1323 (388 -- 3332),Stable,0.99 (0.75 -- 1.2),-0.0031 (-0.072 -- 0.048),-220 (15 -- -9.6)
Mecklenburg-Vorpommern,443 (64 -- 2847),Likely decreasing,0.83 (0.51 -- 1.3),-0.049 (-0.15 -- 0.089),-14 (7.8 -- -4.7)
North Rhine-Westphalia,4903 (1476 -- 14760),Likely decreasing,0.89 (0.66 -- 1.1),-0.032 (-0.1 -- 0.027),-22 (25 -- -7)
Opolskie,502 (19 -- 3227),Likely decreasing,0.94 (0.37 -- 1.4),-0.018 (-0.2 -- 0.11),-39 (6.5 -- -3.5)
Podkarpackie,2972 (1078 -- 13496),Likely increasing,1.1 (0.86 -- 1.5),0.02 (-0.04 -- 0.14),35 (5 -- -17)
Podlaskie,2076 (880 -- 6359),Likely increasing,1 (0.85 -- 1.3),0.01 (-0.042 -- 0.077),66 (9 -- -16)
Poland,21968 (10133 -- 51733),Likely decreasing,0.98 (0.82 -- 1.2),-0.0062 (-0.05 -- 0.057),-110 (12 -- -14)
Pomorskie,2627 (474 -- 9266),Likely decreasing,0.97 (0.63 -- 1.2),-0.0082 (-0.11 -- 0.064),-84 (11 -- -6.5)
Rhineland-Palatinate,754 (146 -- 3774),Likely decreasing,0.84 (0.56 -- 1.2),-0.045 (-0.13 -- 0.062),-15 (11 -- -5.3)
Saarland,297 (58 -- 1699),Likely decreasing,0.9 (0.61 -- 1.4),-0.028 (-0.12 -- 0.094),-25 (7.4 -- -6)
Saxony,3187 (570 -- 13435),Likely decreasing,0.89 (0.56 -- 1.2),-0.03 (-0.13 -- 0.062),-23 (11 -- -5.2)
Saxony-Anhalt,1551 (188 -- 10600),Likely decreasing,0.87 (0.51 -- 1.4),-0.037 (-0.15 -- 0.11),-19 (6.2 -- -4.7)
Schleswig-Holstein,748 (119 -- 5531),Likely decreasing,0.82 (0.51 -- 1.3),-0.051 (-0.15 -- 0.07),-14 (9.9 -- -4.7)
Thuringia,737 (84 -- 3069),Likely decreasing,0.8 (0.43 -- 1.2),-0.056 (-0.18 -- 0.041),-12 (17 -- -3.9)
Warmińsko-Mazurskie,947 (290 -- 4912),Likely decreasing,0.96 (0.75 -- 1.4),-0.013 (-0.072 -- 0.11),-55 (6.5 -- -9.6)
Wielkopolskie,1659 (684 -- 7595),Likely decreasing,0.96 (0.8 -- 1.5),-0.012 (-0.057 -- 0.12),-59 (6 -- -12)
Zachodniopomorskie,1212 (371 -- 3615),Likely decreasing,0.95 (0.74 -- 1.2),-0.015 (-0.075 -- 0.046),-46 (15 -- -9.2)
Łódzkie,1441 (317 -- 6507),Likely decreasing,0.94 (0.64 -- 1.4),-0.016 (-0.1 -- 0.1),-43 (6.7 -- -6.7)
Śląskie,2542 (1279 -- 7212),Stable,1 (0.86 -- 1.3),-1.1e-05 (-0.04 -- 0.072),-63000 (9.7 -- -18)
Świętokrzyskie,608 (74 -- 2257),Likely decreasing,0.95 (0.56 -- 1.3),-0.013 (-0.13 -- 0.067),-53 (10 -- -5.4)
