location,location_name,type,quantile,value,target_end_date,forecast_date,target,board_name,submission_date,horizon
GM,Germany,quantile,0.4,68912,2020-10-24,2020-10-12,2 wk ahead inc case,EpiNow2,2020-10-12,2
GM,Germany,quantile,0.45,70993,2020-10-24,2020-10-12,2 wk ahead inc case,EpiNow2,2020-10-12,2
GM,Germany,quantile,0.5,73128,2020-10-24,2020-10-12,2 wk ahead inc case,EpiNow2,2020-10-12,2
GM,Germany,quantile,0.55,75464,2020-10-24,2020-10-12,2 wk ahead inc case,EpiNow2,2020-10-12,2
GM,Germany,quantile,0.6,78413,2020-10-24,2020-10-12,2 wk ahead inc case,EpiNow2,2020-10-12,2
GM,Germany,quantile,0.65,81039,2020-10-24,2020-10-12,2 wk ahead inc case,EpiNow2,2020-10-12,2
GM,Germany,quantile,0.7,83517,2020-10-24,2020-10-12,2 wk ahead inc case,EpiNow2,2020-10-12,2
GM,Germany,quantile,0.75,86259,2020-10-24,2020-10-12,2 wk ahead inc case,EpiNow2,2020-10-12,2
GM,Germany,quantile,0.8,89401,2020-10-24,2020-10-12,2 wk ahead inc case,EpiNow2,2020-10-12,2
GM,Germany,quantile,0.85,92230,2020-10-24,2020-10-12,2 wk ahead inc case,EpiNow2,2020-10-12,2
GM,Germany,quantile,0.9,95453,2020-10-24,2020-10-12,2 wk ahead inc case,EpiNow2,2020-10-12,2
GM,Germany,quantile,0.95,99007,2020-10-24,2020-10-12,2 wk ahead inc case,EpiNow2,2020-10-12,2
GM,Germany,quantile,0.975,101397,2020-10-24,2020-10-12,2 wk ahead inc case,EpiNow2,2020-10-12,2
GM,Germany,quantile,0.99,102580,2020-10-24,2020-10-12,2 wk ahead inc case,EpiNow2,2020-10-12,2
GM,Germany,quantile,0.01,88739,2020-10-31,2020-10-12,3 wk ahead inc case,EpiNow2,2020-10-12,3
GM,Germany,quantile,0.025,89673,2020-10-31,2020-10-12,3 wk ahead inc case,EpiNow2,2020-10-12,3
GM,Germany,quantile,0.05,91668,2020-10-31,2020-10-12,3 wk ahead inc case,EpiNow2,2020-10-12,3
