location,location_name,inc,type,forecast_date,forecast_time,forecast_week,expert,median,shape_log_normal,horizon,target_end_date,zero_baseline,quantile,value,target,forecaster_id,board_name,submission_date
GM,Germany,incident,quantile,2020-10-25T00:00:00Z,2020-10-25T17:09:33.355927Z,44,TRUE,84123,0.23,1,2020-10-31T00:00:00Z,FALSE,0.01,49265.3011447035,1 wk ahead inc case,515822,seabbs,2020-10-26
GM,Germany,incident,quantile,2020-10-25T00:00:00Z,2020-10-25T17:09:33.355927Z,44,TRUE,84123,0.23,1,2020-10-31T00:00:00Z,FALSE,0.025,53596.7427742147,1 wk ahead inc case,515822,seabbs,2020-10-26
GM,Germany,incident,quantile,2020-10-25T00:00:00Z,2020-10-25T17:09:33.355927Z,44,TRUE,84123,0.23,1,2020-10-31T00:00:00Z,FALSE,0.05,57625.4136349455,1 wk ahead inc case,515822,seabbs,2020-10-26
GM,Germany,incident,quantile,2020-10-25T00:00:00Z,2020-10-25T17:09:33.355927Z,44,TRUE,84123,0.23,1,2020-10-31T00:00:00Z,FALSE,0.1,62647.4609797269,1 wk ahead inc case,515822,seabbs,2020-10-26
GM,Germany,incident,quantile,2020-10-25T00:00:00Z,2020-10-25T17:09:33.355927Z,44,TRUE,84123,0.23,1,2020-10-31T00:00:00Z,FALSE,0.15,66280.8047365281,1 wk ahead inc case,515822,seabbs,2020-10-26
GM,Germany,incident,quantile,2020-10-25T00:00:00Z,2020-10-25T17:09:33.355927Z,44,TRUE,84123,0.23,1,2020-10-31T00:00:00Z,FALSE,0.2,69318.174479584,1 wk ahead inc case,515822,seabbs,2020-10-26
GM,Germany,incident,quantile,2020-10-25T00:00:00Z,2020-10-25T17:09:33.355927Z,44,TRUE,84123,0.23,1,2020-10-31T00:00:00Z,FALSE,0.25,72034.6584812992,1 wk ahead inc case,515822,seabbs,2020-10-26
GM,Germany,incident,quantile,2020-10-25T00:00:00Z,2020-10-25T17:09:33.355927Z,44,TRUE,84123,0.23,1,2020-10-31T00:00:00Z,FALSE,0.3,74564.7515050257,1 wk ahead inc case,515822,seabbs,2020-10-26
GM,Germany,incident,quantile,2020-10-25T00:00:00Z,2020-10-25T17:09:33.355927Z,44,TRUE,84123,0.23,1,2020-10-31T00:00:00Z,FALSE,0.35,76988.5189555342,1 wk ahead inc case,515822,seabbs,2020-10-26
GM,Germany,incident,quantile,2020-10-25T00:00:00Z,2020-10-25T17:09:33.355927Z,44,TRUE,84123,0.23,1,2020-10-31T00:00:00Z,FALSE,0.4,79361.2472981301,1 wk ahead inc case,515822,seabbs,2020-10-26
GM,Germany,incident,quantile,2020-10-25T00:00:00Z,2020-10-25T17:09:33.355927Z,44,TRUE,84123,0.23,1,2020-10-31T00:00:00Z,FALSE,0.45,81726.467070879,1 wk ahead inc case,515822,seabbs,2020-10-26
GM,Germany,incident,quantile,2020-10-25T00:00:00Z,2020-10-25T17:09:33.355927Z,44,TRUE,84123,0.23,1,2020-10-31T00:00:00Z,FALSE,0.5,84123,1 wk ahead inc case,515822,seabbs,2020-10-26
GM,Germany,incident,quantile,2020-10-25T00:00:00Z,2020-10-25T17:09:33.355927Z,44,TRUE,84123,0.23,1,2020-10-31T00:00:00Z,FALSE,0.55,86589.808450457,1 wk ahead inc case,515822,seabbs,2020-10-26
GM,Germany,incident,quantile,2020-10-25T00:00:00Z,2020-10-25T17:09:33.355927Z,44,TRUE,84123,0.23,1,2020-10-31T00:00:00Z,FALSE,0.6,89170.4625358974,1 wk ahead inc case,515822,seabbs,2020-10-26
GM,Germany,incident,quantile,2020-10-25T00:00:00Z,2020-10-25T17:09:33.355927Z,44,TRUE,84123,0.23,1,2020-10-31T00:00:00Z,FALSE,0.65,91918.6292320707,1 wk ahead inc case,515822,seabbs,2020-10-26
GM,Germany,incident,quantile,2020-10-25T00:00:00Z,2020-10-25T17:09:33.355927Z,44,TRUE,84123,0.23,1,2020-10-31T00:00:00Z,FALSE,0.7,94906.4938347313,1 wk ahead inc case,515822,seabbs,2020-10-26
GM,Germany,incident,quantile,2020-10-25T00:00:00Z,2020-10-25T17:09:33.355927Z,44,TRUE,84123,0.23,1,2020-10-31T00:00:00Z,FALSE,0.75,98239.9205909632,1 wk ahead inc case,515822,seabbs,2020-10-26
GM,Germany,incident,quantile,2020-10-25T00:00:00Z,2020-10-25T17:09:33.355927Z,44,TRUE,84123,0.23,1,2020-10-31T00:00:00Z,FALSE,0.8,102089.808078894,1 wk ahead inc case,515822,seabbs,2020-10-26
GM,Germany,incident,quantile,2020-10-25T00:00:00Z,2020-10-25T17:09:33.355927Z,44,TRUE,84123,0.23,1,2020-10-31T00:00:00Z,FALSE,0.85,106768.153421347,1 wk ahead inc case,515822,seabbs,2020-10-26
GM,Germany,incident,quantile,2020-10-25T00:00:00Z,2020-10-25T17:09:33.355927Z,44,TRUE,84123,0.23,1,2020-10-31T00:00:00Z,FALSE,0.9,112960.350161518,1 wk ahead inc case,515822,seabbs,2020-10-26
