target,target_end_date,location,type,quantile,value,location_name,forecast_date,target_type,board_name,submission_date,horizon
1 wk ahead inc case,2020-10-17,GM,quantile,0.01,18406.8959855666,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,1
1 wk ahead inc case,2020-10-17,GM,quantile,0.025,19589.8316341694,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,1
1 wk ahead inc case,2020-10-17,GM,quantile,0.05,20454.6041435569,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,1
1 wk ahead inc case,2020-10-17,GM,quantile,0.1,21636.3341576457,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,1
1 wk ahead inc case,2020-10-17,GM,quantile,0.15,22556.9704339969,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,1
1 wk ahead inc case,2020-10-17,GM,quantile,0.2,23316.5216934627,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,1
1 wk ahead inc case,2020-10-17,GM,quantile,0.25,23988.4999562312,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,1
1 wk ahead inc case,2020-10-17,GM,quantile,0.3,24608.4460011416,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,1
1 wk ahead inc case,2020-10-17,GM,quantile,0.35,25197.2112891229,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,1
1 wk ahead inc case,2020-10-17,GM,quantile,0.4,25768.9118165809,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,1
1 wk ahead inc case,2020-10-17,GM,quantile,0.45,26334.3817313057,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,1
1 wk ahead inc case,2020-10-17,GM,quantile,0.5,26903,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,1
1 wk ahead inc case,2020-10-17,GM,quantile,0.55,27483.8960103474,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,1
1 wk ahead inc case,2020-10-17,GM,quantile,0.6,28086.9993328276,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,1
1 wk ahead inc case,2020-10-17,GM,quantile,0.65,28724.2663759555,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,1
1 wk ahead inc case,2020-10-17,GM,quantile,0.7,29411.5040407844,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,1
1 wk ahead inc case,2020-10-17,GM,quantile,0.75,30171.5993213655,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,1
1 wk ahead inc case,2020-10-17,GM,quantile,0.8,31041.1397769903,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,1
1 wk ahead inc case,2020-10-17,GM,quantile,0.85,32086.3748577319,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,1
1 wk ahead inc case,2020-10-17,GM,quantile,0.9,33451.6653203121,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,1
1 wk ahead inc case,2020-10-17,GM,quantile,0.95,35582.8194316605,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,1
1 wk ahead inc case,2020-10-17,GM,quantile,0.975,37540.9254011785,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,1
1 wk ahead inc case,2020-10-17,GM,quantile,0.99,39953.5265792051,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,1
2 wk ahead inc case,2020-10-24,GM,quantile,0.01,20611.1767148462,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,2
2 wk ahead inc case,2020-10-24,GM,quantile,0.025,22016.2889838236,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,2
2 wk ahead inc case,2020-10-24,GM,quantile,0.05,23301.1438609863,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,2
2 wk ahead inc case,2020-10-24,GM,quantile,0.1,24875.8343245118,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,2
2 wk ahead inc case,2020-10-24,GM,quantile,0.15,25997.9605576684,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,2
2 wk ahead inc case,2020-10-24,GM,quantile,0.2,26925.7824485981,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,2
2 wk ahead inc case,2020-10-24,GM,quantile,0.25,27748.1161091337,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,2
2 wk ahead inc case,2020-10-24,GM,quantile,0.3,28507.9789906674,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,2
2 wk ahead inc case,2020-10-24,GM,quantile,0.35,29230.6676759996,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,2
2 wk ahead inc case,2020-10-24,GM,quantile,0.4,29933.3614634843,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,2
2 wk ahead inc case,2020-10-24,GM,quantile,0.45,30629.2998578291,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,2
2 wk ahead inc case,2020-10-24,GM,quantile,0.5,31330,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,2
2 wk ahead inc case,2020-10-24,GM,quantile,0.55,32046.7299140403,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,2
2 wk ahead inc case,2020-10-24,GM,quantile,0.6,32791.8032592971,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,2
2 wk ahead inc case,2020-10-24,GM,quantile,0.65,33580.105349627,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,2
2 wk ahead inc case,2020-10-24,GM,quantile,0.7,34431.3744696296,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,2
2 wk ahead inc case,2020-10-24,GM,quantile,0.75,35510.1943203486,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,2
2 wk ahead inc case,2020-10-24,GM,quantile,0.8,37025.3454412153,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,2
2 wk ahead inc case,2020-10-24,GM,quantile,0.85,38873.2257285854,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,2
2 wk ahead inc case,2020-10-24,GM,quantile,0.9,40859.9477415446,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,2
2 wk ahead inc case,2020-10-24,GM,quantile,0.95,43463.072123696,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,2
2 wk ahead inc case,2020-10-24,GM,quantile,0.975,45854.824726169,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,2
2 wk ahead inc case,2020-10-24,GM,quantile,0.99,48801.7260870259,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,2
3 wk ahead inc case,2020-10-31,GM,quantile,0.01,20533.8536487672,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,3
3 wk ahead inc case,2020-10-31,GM,quantile,0.025,22095.0079742003,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,3
