Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Baden-Wurttemberg,52909 (23449 -- 126908),Likely increasing,1.2 (0.91 -- 1.5),0.047 (-0.024 -- 0.12),15 (5.9 -- -29)
Bavaria,90536 (42903 -- 184815),Likely increasing,1.2 (0.92 -- 1.4),0.048 (-0.021 -- 0.1),14 (6.8 -- -33)
Berlin,11324 (4762 -- 25513),Likely increasing,1.1 (0.85 -- 1.3),0.033 (-0.041 -- 0.087),21 (8 -- -17)
Brandenburg,18319 (8815 -- 36450),Likely increasing,1.3 (0.98 -- 1.5),0.069 (-0.0057 -- 0.12),10 (5.8 -- -120)
Bremen,1207 (698 -- 2253),Increasing,1.2 (1.1 -- 1.5),0.064 (0.015 -- 0.13),11 (5.4 -- 46)
Dolnośląskie,9924 (5817 -- 19313),Increasing,1.2 (1 -- 1.4),0.053 (0.0011 -- 0.12),13 (5.9 -- 610)
Germany,275725 (81040 -- 621249),Likely increasing,1.1 (0.73 -- 1.4),0.034 (-0.078 -- 0.1),20 (6.9 -- -8.9)
Hamburg,3100 (1638 -- 6088),Likely increasing,1.1 (0.93 -- 1.3),0.03 (-0.02 -- 0.085),23 (8.1 -- -35)
Hesse,11855 (6207 -- 23089),Likely increasing,1.1 (0.89 -- 1.3),0.025 (-0.031 -- 0.078),28 (8.9 -- -22)
Kujawsko-Pomorskie,7222 (4365 -- 12471),Increasing,1.2 (1 -- 1.4),0.056 (0.013 -- 0.1),12 (6.9 -- 55)
Lower Saxony,11520 (5928 -- 22076),Likely increasing,1.1 (0.93 -- 1.3),0.035 (-0.019 -- 0.088),20 (7.9 -- -37)
Lubelskie,5316 (3001 -- 10128),Likely decreasing,0.92 (0.74 -- 1.1),-0.022 (-0.073 -- 0.036),-32 (20 -- -9.5)
Lubuskie,2751 (1639 -- 4844),Increasing,1.2 (1 -- 1.4),0.053 (0.0079 -- 0.097),13 (7.1 -- 88)
Mazowieckie,18451 (12143 -- 28994),Likely increasing,1 (0.91 -- 1.2),0.013 (-0.025 -- 0.051),53 (13 -- -27)
Małopolskie,9205 (5711 -- 14949),Increasing,1.2 (1 -- 1.3),0.048 (0.0046 -- 0.09),14 (7.7 -- 150)
Mecklenburg-Vorpommern,4722 (2741 -- 8916),Increasing,1.2 (1 -- 1.5),0.062 (0.0063 -- 0.12),11 (5.7 -- 110)
North Rhine-Westphalia,35218 (17578 -- 71721),Likely increasing,1.2 (0.92 -- 1.4),0.042 (-0.023 -- 0.11),16 (6.3 -- -30)
Opolskie,4246 (2537 -- 7960),Increasing,1.3 (1.1 -- 1.6),0.079 (0.03 -- 0.15),8.8 (4.8 -- 23)
Podkarpackie,4591 (2696 -- 7851),Likely increasing,1.1 (0.91 -- 1.3),0.027 (-0.026 -- 0.087),26 (8 -- -27)
Podlaskie,2478 (1504 -- 4272),Likely decreasing,0.95 (0.79 -- 1.1),-0.014 (-0.058 -- 0.039),-49 (18 -- -12)
Poland,116149 (77163 -- 188654),Increasing,1.1 (1 -- 1.3),0.034 (0.0011 -- 0.07),21 (9.9 -- 620)
Pomorskie,6896 (4273 -- 12237),Likely increasing,1.2 (1 -- 1.3),0.041 (3e-04 -- 0.09),17 (7.7 -- 2300)
Rhineland-Palatinate,9197 (4868 -- 18091),Likely increasing,1.2 (0.95 -- 1.4),0.048 (-0.013 -- 0.1),14 (6.7 -- -54)
Saarland,4628 (2563 -- 9072),Increasing,1.4 (1.1 -- 1.7),0.1 (0.028 -- 0.17),7 (4 -- 25)
Saxony,58246 (26153 -- 140442),Increasing,1.3 (1 -- 1.5),0.071 (0.0075 -- 0.13),9.8 (5.3 -- 92)
Saxony-Anhalt,16525 (9241 -- 32835),Increasing,1.3 (1.1 -- 1.6),0.08 (0.036 -- 0.14),8.7 (4.9 -- 19)
Schleswig-Holstein,3301 (1780 -- 6368),Likely increasing,1.1 (0.96 -- 1.4),0.039 (-0.01 -- 0.11),18 (6.5 -- -69)
Thuringia,13961 (7327 -- 26686),Likely increasing,1.2 (0.95 -- 1.3),0.041 (-0.013 -- 0.078),17 (8.8 -- -55)
Warmińsko-Mazurskie,4453 (2440 -- 7814),Likely increasing,1.1 (0.93 -- 1.3),0.034 (-0.019 -- 0.082),21 (8.5 -- -37)
Wielkopolskie,12374 (7401 -- 21507),Increasing,1.2 (1.1 -- 1.4),0.061 (0.019 -- 0.099),11 (7 -- 36)
Zachodniopomorskie,6332 (4074 -- 10467),Increasing,1.1 (1 -- 1.3),0.036 (0.0011 -- 0.068),19 (10 -- 650)
Łódzkie,5776 (3149 -- 10709),Stable,1 (0.83 -- 1.3),0.008 (-0.049 -- 0.071),87 (9.8 -- -14)
Śląskie,16646 (10456 -- 27914),Increasing,1.3 (1.1 -- 1.5),0.072 (0.033 -- 0.12),9.6 (5.8 -- 21)
Świętokrzyskie,2442 (1472 -- 4282),Increasing,1.2 (1 -- 1.4),0.047 (0.0013 -- 0.1),15 (6.8 -- 550)
