Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Baden-Wurttemberg,494 (137 -- 1707),Likely decreasing,0.91 (0.71 -- 1.1),-0.026 (-0.085 -- 0.038),-27 (18 -- -8.2)
Bavaria,611 (198 -- 2358),Likely decreasing,0.9 (0.69 -- 1.2),-0.027 (-0.089 -- 0.046),-25 (15 -- -7.8)
Berlin,51 (2 -- 736),Likely decreasing,0.79 (0.39 -- 1.4),-0.059 (-0.19 -- 0.096),-12 (7.2 -- -3.7)
Brandenburg,221 (41 -- 2033),Likely decreasing,0.94 (0.69 -- 1.6),-0.016 (-0.09 -- 0.15),-43 (4.5 -- -7.7)
Bremen,22 (0 -- 264),Likely decreasing,0.87 (0.37 -- 1.4),-0.036 (-0.19 -- 0.11),-19 (6.2 -- -3.6)
Dolnośląskie,1 (0 -- 30),Likely decreasing,0.65 (0.16 -- 1.2),-0.1 (-0.28 -- 0.045),-6.7 (16 -- -2.5)
Germany,3641 (1261 -- 10525),Likely decreasing,0.89 (0.71 -- 1.1),-0.031 (-0.084 -- 0.019),-23 (36 -- -8.3)
Hamburg,212 (29 -- 1501),Likely decreasing,0.92 (0.6 -- 1.4),-0.024 (-0.12 -- 0.1),-29 (6.8 -- -5.9)
Hesse,562 (32 -- 2913),Likely decreasing,0.93 (0.43 -- 1.3),-0.018 (-0.17 -- 0.072),-38 (9.6 -- -4)
Kujawsko-Pomorskie,1 (0 -- 33),Likely decreasing,0.78 (0.18 -- 1.3),-0.062 (-0.27 -- 0.074),-11 (9.4 -- -2.6)
Lower Saxony,738 (90 -- 3024),Likely decreasing,0.89 (0.56 -- 1.2),-0.031 (-0.13 -- 0.042),-23 (17 -- -5.3)
Lubelskie,11 (0 -- 179),Likely decreasing,0.85 (0.33 -- 1.3),-0.043 (-0.21 -- 0.089),-16 (7.8 -- -3.2)
Lubuskie,0 (0 -- 11),Likely decreasing,0.52 (0.037 -- 1.4),-0.14 (-0.35 -- 0.11),-4.8 (6.2 -- -2)
Mazowieckie,70 (8 -- 491),Likely decreasing,0.91 (0.6 -- 1.4),-0.024 (-0.12 -- 0.095),-29 (7.3 -- -5.8)
Małopolskie,0 (0 -- 32),Likely decreasing,0.62 (0.11 -- 1.4),-0.11 (-0.31 -- 0.096),-6.2 (7.2 -- -2.3)
Mecklenburg-Vorpommern,56 (6 -- 317),Likely decreasing,0.87 (0.53 -- 1.2),-0.036 (-0.14 -- 0.056),-19 (12 -- -4.9)
North Rhine-Westphalia,756 (192 -- 2437),Likely decreasing,0.89 (0.65 -- 1.1),-0.032 (-0.1 -- 0.034),-22 (21 -- -7)
Opolskie,0 (0 -- 41),Likely decreasing,0.59 (0.057 -- 1.3),-0.12 (-0.33 -- 0.076),-5.8 (9.2 -- -2.1)
Podkarpackie,13 (0 -- 113),Likely decreasing,0.89 (0.32 -- 1.3),-0.03 (-0.21 -- 0.076),-23 (9.1 -- -3.3)
Podlaskie,7 (0 -- 931),Likely decreasing,0.92 (0.43 -- 2.2),-0.023 (-0.17 -- 0.3),-30 (2.3 -- -4)
Poland,145 (28 -- 425),Likely decreasing,0.86 (0.59 -- 1),-0.039 (-0.12 -- 0.013),-18 (52 -- -5.8)
Pomorskie,30 (1 -- 1324),Likely decreasing,0.92 (0.5 -- 1.9),-0.023 (-0.15 -- 0.22),-30 (3.2 -- -4.6)
Rhineland-Palatinate,247 (54 -- 2217),Likely decreasing,0.91 (0.69 -- 1.5),-0.025 (-0.089 -- 0.13),-28 (5.4 -- -7.8)
Saarland,25 (0 -- 193),Likely decreasing,0.78 (0.21 -- 1.1),-0.062 (-0.26 -- 0.025),-11 (28 -- -2.7)
Saxony,157 (28 -- 739),Likely decreasing,0.85 (0.58 -- 1.1),-0.042 (-0.12 -- 0.037),-17 (19 -- -5.6)
Saxony-Anhalt,169 (47 -- 863),Likely decreasing,0.91 (0.7 -- 1.2),-0.025 (-0.087 -- 0.067),-28 (10 -- -8)
Schleswig-Holstein,327 (81 -- 2083),Likely decreasing,0.97 (0.73 -- 1.4),-0.0096 (-0.078 -- 0.1),-72 (6.8 -- -8.8)
Thuringia,308 (51 -- 1914),Likely decreasing,0.92 (0.63 -- 1.3),-0.022 (-0.11 -- 0.086),-31 (8.1 -- -6.4)
Warmińsko-Mazurskie,6 (0 -- 208),Likely decreasing,0.85 (0.14 -- 1.6),-0.041 (-0.3 -- 0.16),-17 (4.4 -- -2.3)
Wielkopolskie,0 (0 -- 16),Likely decreasing,0.61 (0.12 -- 1.2),-0.11 (-0.3 -- 0.059),-6.1 (12 -- -2.3)
Zachodniopomorskie,1 (0 -- 187),Likely decreasing,0.75 (0.13 -- 2),-0.072 (-0.3 -- 0.24),-9.6 (2.9 -- -2.3)
Łódzkie,26 (0 -- 361),Likely decreasing,0.82 (0.17 -- 1.4),-0.05 (-0.28 -- 0.11),-14 (6.2 -- -2.5)
Śląskie,3 (0 -- 38),Likely decreasing,0.76 (0.27 -- 1.1),-0.069 (-0.24 -- 0.038),-10 (18 -- -2.9)
Świętokrzyskie,7 (0 -- 122),Likely decreasing,0.82 (0.26 -- 1.3),-0.05 (-0.24 -- 0.086),-14 (8.1 -- -2.9)
