region,estimate,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,metric,Expected change in daily cases
Germany,150166 (47761 -- 405116),150166,179975,125703,47761,100523,130575,173818,225955,405116,New confirmed cases by infection date,Unsure
Poland,3040 (184 -- 13887),3040,4683,5836,184,1123,2103,4166,6268,13887,New confirmed cases by infection date,Unsure
Germany,1 (0.72 -- 1.2),1,0.98,0.15,0.72,0.91,0.97,1,1.1,1.2,Effective reproduction no.,Unsure
Poland,0.55 (0.17 -- 0.85),0.55,0.54,0.21,0.17,0.39,0.49,0.61,0.69,0.85,Effective reproduction no.,Unsure
