Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Baden-Wurttemberg,569 (75 -- 2066),Likely decreasing,0.78 (0.43 -- 1),-0.064 (-0.17 -- 0.0041),-11 (170 -- -4)
Bavaria,665 (99 -- 2334),Likely decreasing,0.79 (0.45 -- 1),-0.06 (-0.17 -- 0.0087),-11 (79 -- -4.2)
Berlin,59 (0 -- 1161),Likely decreasing,0.62 (0.099 -- 1.3),-0.11 (-0.31 -- 0.082),-6.2 (8.4 -- -2.2)
Brandenburg,148 (17 -- 961),Likely decreasing,0.83 (0.48 -- 1.3),-0.048 (-0.16 -- 0.082),-14 (8.5 -- -4.5)
Bremen,8 (0 -- 148),Likely decreasing,0.75 (0.25 -- 1.4),-0.071 (-0.24 -- 0.1),-9.7 (6.9 -- -2.9)
Dolnośląskie,53 (1 -- 427),Decreasing,0.53 (0.16 -- 0.9),-0.14 (-0.28 -- -0.028),-5 (-25 -- -2.5)
Germany,9682 (4031 -- 24508),Likely decreasing,0.91 (0.72 -- 1.1),-0.026 (-0.081 -- 0.04),-26 (17 -- -8.6)
Hamburg,201 (21 -- 1461),Likely decreasing,0.93 (0.58 -- 1.5),-0.019 (-0.13 -- 0.14),-36 (5.1 -- -5.5)
Hesse,1127 (222 -- 3894),Likely decreasing,0.92 (0.59 -- 1.2),-0.023 (-0.12 -- 0.06),-30 (11 -- -5.8)
Kujawsko-Pomorskie,63 (3 -- 482),Likely decreasing,0.66 (0.33 -- 1),-0.099 (-0.21 -- 0.002),-7 (350 -- -3.3)
Lower Saxony,842 (265 -- 2595),Likely decreasing,0.94 (0.74 -- 1.2),-0.017 (-0.073 -- 0.049),-40 (14 -- -9.5)
Lubelskie,321 (45 -- 1741),Likely decreasing,0.84 (0.53 -- 1.2),-0.046 (-0.14 -- 0.06),-15 (12 -- -4.9)
Lubuskie,139 (11 -- 1097),Likely decreasing,0.8 (0.45 -- 1.3),-0.056 (-0.17 -- 0.071),-12 (9.8 -- -4.2)
Mazowieckie,40 (0 -- 399),Decreasing,0.5 (0.04 -- 0.9),-0.15 (-0.34 -- -0.029),-4.6 (-24 -- -2)
Małopolskie,374 (37 -- 2708),Likely decreasing,0.78 (0.41 -- 1.2),-0.063 (-0.18 -- 0.054),-11 (13 -- -3.8)
Mecklenburg-Vorpommern,10 (0 -- 141),Likely decreasing,0.54 (0.13 -- 1.1),-0.14 (-0.3 -- 0.022),-5.1 (31 -- -2.3)
North Rhine-Westphalia,1081 (273 -- 3567),Likely decreasing,0.81 (0.54 -- 1.1),-0.053 (-0.14 -- 0.03),-13 (23 -- -5.1)
Opolskie,124 (7 -- 895),Likely decreasing,0.76 (0.37 -- 1.1),-0.069 (-0.2 -- 0.02),-10 (35 -- -3.5)
Podkarpackie,156 (11 -- 1293),Likely decreasing,0.77 (0.32 -- 1.3),-0.066 (-0.21 -- 0.078),-10 (8.9 -- -3.3)
Podlaskie,77 (6 -- 466),Likely decreasing,0.78 (0.4 -- 1.2),-0.063 (-0.19 -- 0.048),-11 (14 -- -3.7)
Poland,1089 (65 -- 6027),Decreasing,0.6 (0.24 -- 0.89),-0.12 (-0.25 -- -0.029),-5.8 (-23 -- -2.8)
Pomorskie,15 (0 -- 201),Decreasing,0.61 (0.14 -- 0.99),-0.12 (-0.29 -- -0.0023),-6 (-300 -- -2.4)
Rhineland-Palatinate,488 (91 -- 1535),Likely decreasing,0.93 (0.63 -- 1.2),-0.02 (-0.11 -- 0.043),-34 (16 -- -6.4)
Saarland,152 (3 -- 1025),Likely decreasing,0.92 (0.35 -- 1.2),-0.022 (-0.2 -- 0.063),-31 (11 -- -3.4)
Saxony,10795 (2380 -- 91182),Likely increasing,1.2 (0.87 -- 2.2),0.062 (-0.038 -- 0.3),11 (2.3 -- -18)
Saxony-Anhalt,1090 (196 -- 8126),Stable,0.99 (0.63 -- 1.6),-0.0039 (-0.11 -- 0.15),-180 (4.5 -- -6.4)
Schleswig-Holstein,116 (3 -- 620),Likely decreasing,0.87 (0.34 -- 1.3),-0.037 (-0.21 -- 0.076),-19 (9.2 -- -3.4)
Thuringia,610 (92 -- 2551),Likely decreasing,0.87 (0.56 -- 1.2),-0.035 (-0.13 -- 0.046),-20 (15 -- -5.3)
Warmińsko-Mazurskie,191 (3 -- 960),Likely decreasing,0.83 (0.28 -- 1),-0.049 (-0.23 -- 0.011),-14 (65 -- -3)
Wielkopolskie,203 (12 -- 1163),Decreasing,0.67 (0.3 -- 1),-0.097 (-0.22 -- 0.005),-7.2 (140 -- -3.2)
Zachodniopomorskie,115 (7 -- 618),Likely decreasing,0.72 (0.3 -- 1.1),-0.08 (-0.22 -- 0.027),-8.7 (26 -- -3.1)
Łódzkie,218 (24 -- 1393),Likely decreasing,0.73 (0.39 -- 1.1),-0.078 (-0.19 -- 0.032),-8.8 (21 -- -3.7)
Śląskie,283 (8 -- 2131),Decreasing,0.61 (0.21 -- 0.95),-0.11 (-0.25 -- -0.015),-6.1 (-47 -- -2.7)
Świętokrzyskie,62 (1 -- 480),Likely decreasing,0.63 (0.19 -- 1),-0.11 (-0.26 -- 0.0067),-6.4 (100 -- -2.6)
